theta_deg,phi_deg,RCS_total_dBsm,RCS_VV_dBsm,RCS_HH_dBsm
0,0,-16.5678,-16.5678,-300
0,1.00279,-16.5678,-16.5678,-300
0,2.00557,-16.5678,-16.5678,-300
0,3.00836,-16.5678,-16.5678,-300
0,4.01114,-16.5678,-16.5678,-300
0,5.01393,-16.5678,-16.5678,-300
0,6.01671,-16.5678,-16.5678,-300
0,7.0195,-16.5678,-16.5678,-300
0,8.02228,-16.5678,-16.5678,-300
0,9.02507,-16.5678,-16.5678,-300
0,10.0279,-16.5678,-16.5678,-300
0,11.0306,-16.5678,-16.5678,-300
0,12.0334,-16.5678,-16.5678,-300
0,13.0362,-16.5678,-16.5678,-300
0,14.039,-16.5678,-16.5678,-300
0,15.0418,-16.5678,-16.5678,-300
0,16.0446,-16.5678,-16.5678,-300
0,17.0474,-16.5678,-16.5678,-300
0,18.0501,-16.5678,-16.5678,-300
0,19.0529,-16.5678,-16.5678,-300
0,20.0557,-16.5678,-16.5678,-300
0,21.0585,-16.5678,-16.5678,-300
0,22.0613,-16.5678,-16.5678,-300
0,23.0641,-16.5678,-16.5678,-300
0,24.0669,-16.5678,-16.5678,-300
0,25.0696,-16.5678,-16.5678,-300
0,26.0724,-16.5678,-16.5678,-300
0,27.0752,-16.5678,-16.5678,-300
0,28.078,-16.5678,-16.5678,-300
0,29.0808,-16.5678,-16.5678,-300
0,30.0836,-16.5678,-16.5678,-300
0,31.0864,-16.5678,-16.5678,-300
0,32.0891,-16.5678,-16.5678,-300
0,33.0919,-16.5678,-16.5678,-300
0,34.0947,-16.5678,-16.5678,-300
0,35.0975,-16.5678,-16.5678,-300
0,36.1003,-16.5678,-16.5678,-300
0,37.1031,-16.5678,-16.5678,-300
0,38.1058,-16.5678,-16.5678,-300
0,39.1086,-16.5678,-16.5678,-300
0,40.1114,-16.5678,-16.5678,-300
0,41.1142,-16.5678,-16.5678,-300
0,42.117,-16.5678,-16.5678,-300
0,43.1198,-16.5678,-16.5678,-300
0,44.1226,-16.5678,-16.5678,-300
0,45.1253,-16.5678,-16.5678,-300
0,46.1281,-16.5678,-16.5678,-300
0,47.1309,-16.5678,-16.5678,-300
0,48.1337,-16.5678,-16.5678,-300
0,49.1365,-16.5678,-16.5678,-300
0,50.1393,-16.5678,-16.5678,-300
0,51.1421,-16.5678,-16.5678,-300
0,52.1448,-16.5678,-16.5678,-300
0,53.1476,-16.5678,-16.5678,-300
0,54.1504,-16.5678,-16.5678,-300
0,55.1532,-16.5678,-16.5678,-300
0,56.156,-16.5678,-16.5678,-300
0,57.1588,-16.5678,-16.5678,-300
0,58.1616,-16.5678,-16.5678,-300
0,59.1643,-16.5678,-16.5678,-300
0,60.1671,-16.5678,-16.5678,-300
0,61.1699,-16.5678,-16.5678,-300
0,62.1727,-16.5678,-16.5678,-300
0,63.1755,-16.5678,-16.5678,-300
0,64.1783,-16.5678,-16.5678,-300
0,65.1811,-16.5678,-16.5678,-300
0,66.1838,-16.5678,-16.5678,-300
0,67.1866,-16.5678,-16.5678,-300
0,68.1894,-16.5678,-16.5678,-300
0,69.1922,-16.5678,-16.5678,-300
0,70.195,-16.5678,-16.5678,-300
0,71.1978,-16.5678,-16.5678,-300
0,72.2006,-16.5678,-16.5678,-300
0,73.2033,-16.5678,-16.5678,-300
0,74.2061,-16.5678,-16.5678,-300
0,75.2089,-16.5678,-16.5678,-300
0,76.2117,-16.5678,-16.5678,-300
0,77.2145,-16.5678,-16.5678,-300
0,78.2173,-16.5678,-16.5678,-300
0,79.2201,-16.5678,-16.5678,-300
0,80.2228,-16.5678,-16.5678,-300
0,81.2256,-16.5678,-16.5678,-300
0,82.2284,-16.5678,-16.5678,-300
0,83.2312,-16.5678,-16.5678,-300
0,84.234,-16.5678,-16.5678,-300
0,85.2368,-16.5678,-16.5678,-300
0,86.2396,-16.5678,-16.5678,-300
0,87.2423,-16.5678,-16.5678,-300
0,88.2451,-16.5678,-16.5678,-300
0,89.2479,-16.5678,-16.5678,-300
0,90.2507,-16.5678,-16.5678,-300
0,91.2535,-16.5678,-16.5678,-300
0,92.2563,-16.5678,-16.5678,-300
0,93.2591,-16.5678,-16.5678,-300
0,94.2618,-16.5678,-16.5678,-300
0,95.2646,-16.5678,-16.5678,-300
0,96.2674,-16.5678,-16.5678,-300
0,97.2702,-16.5678,-16.5678,-300
0,98.273,-16.5678,-16.5678,-300
0,99.2758,-16.5678,-16.5678,-300
0,100.279,-16.5678,-16.5678,-300
0,101.281,-16.5678,-16.5678,-300
0,102.284,-16.5678,-16.5678,-300
0,103.287,-16.5678,-16.5678,-300
0,104.29,-16.5678,-16.5678,-300
0,105.292,-16.5678,-16.5678,-300
0,106.295,-16.5678,-16.5678,-300
0,107.298,-16.5678,-16.5678,-300
0,108.301,-16.5678,-16.5678,-300
0,109.304,-16.5678,-16.5678,-300
0,110.306,-16.5678,-16.5678,-300
0,111.309,-16.5678,-16.5678,-300
0,112.312,-16.5678,-16.5678,-300
0,113.315,-16.5678,-16.5678,-300
0,114.318,-16.5678,-16.5678,-300
0,115.32,-16.5678,-16.5678,-300
0,116.323,-16.5678,-16.5678,-300
0,117.326,-16.5678,-16.5678,-300
0,118.329,-16.5678,-16.5678,-300
0,119.331,-16.5678,-16.5678,-300
0,120.334,-16.5678,-16.5678,-300
0,121.337,-16.5678,-16.5678,-300
0,122.34,-16.5678,-16.5678,-300
0,123.343,-16.5678,-16.5678,-300
0,124.345,-16.5678,-16.5678,-300
